generation,average_fitness,median_fitness,best_fitness,worst_fitness
176,7007.0,6990.0,7560,6480
177,6950.0,6965.0,7550,6480
178,6973.6,6985.0,7550,6520
179,6996.8,6990.0,7600,6490
180,6945.4,6930.0,7460,6490
181,6983.4,6940.0,7490,6460
182,7009.8,7005.0,7510,6480
183,7009.8,6950.0,7630,6530
184,6966.0,6970.0,7300,6650
185,6991.0,6960.0,7500,6530
186,6987.6,6980.0,7650,6360
187,6991.6,6975.0,7480,6510
188,7038.8,7015.0,7400,6550
189,6997.6,6970.0,7500,6530
190,6953.2,6950.0,7430,6530
191,7038.0,7040.0,7520,6650
192,7025.6,6985.0,7520,6520
193,6954.8,6970.0,7550,6440
194,7057.6,7030.0,7650,6480
195,7010.8,6970.0,7590,6370
196,6952.8,6945.0,7420,6310
197,7032.6,7045.0,7470,6580
198,7026.6,7010.0,7680,6500
199,7006.0,7010.0,7720,6450
200,6983.8,6965.0,7460,6610
201,6954.0,6900.0,7640,6570
202,6980.0,6970.0,7640,6530
203,7012.6,6990.0,7540,6570
204,6995.6,6985.0,7530,6450
205,7015.2,7000.0,7510,6540
206,6996.2,6965.0,7580,6470
207,7007.0,7015.0,7380,6410
208,7030.2,7005.0,7510,6530
209,7022.0,6995.0,7430,6120
210,6973.8,6985.0,7360,6560
211,6996.6,6980.0,7610,6600
212,6955.6,6985.0,7400,6520
213,6975.4,6980.0,7600,6490
214,7004.2,7015.0,7430,6380
215,6961.2,6990.0,7510,6450
216,7029.0,7045.0,7600,6390
217,6981.2,6970.0,7760,6550
218,7004.8,7065.0,7670,6510
219,6901.2,6875.0,7430,6490
220,6966.8,6920.0,7490,6500
221,6979.4,6975.0,7590,6500
222,6952.2,6915.0,7540,6420
223,6992.6,6995.0,7540,6470
224,7040.8,7015.0,7630,6660
225,6985.6,6940.0,7680,6460
226,7003.2,7030.0,7700,6290
227,7029.6,7010.0,7660,6560
228,7001.4,6980.0,7580,6490
229,6966.6,7020.0,7420,6570
230,6989.6,6965.0,7740,6470
231,7022.6,7020.0,7640,6580
232,7016.2,7005.0,7650,6410
233,7062.0,7045.0,7560,6670
234,7020.4,7035.0,7550,6670
235,7031.2,7030.0,7560,6370
236,6966.0,6975.0,7580,6490
237,7046.2,7005.0,7730,6580
238,6972.2,6975.0,7620,6490
239,7003.6,6970.0,7620,6580
240,7070.8,7075.0,7710,6680
241,6954.6,6900.0,7750,6530
242,7033.2,7045.0,7590,6600
243,7016.8,6995.0,7640,6490
244,7046.6,7040.0,7580,6530
245,7054.0,7035.0,7640,6470
246,7063.6,7000.0,7700,6630
247,6983.8,6970.0,7700,6460
248,7039.4,7050.0,7580,6460
249,7023.0,7005.0,7780,6540
250,6979.4,6950.0,7630,6570
251,6955.0,6920.0,7430,6620
252,7048.0,7025.0,7620,6630
253,6992.0,6995.0,7620,6340
254,6972.0,6950.0,7610,6580
255,6957.6,6950.0,7740,6420
256,6950.0,6975.0,7610,6470
257,6957.6,6920.0,7590,6410
258,6975.8,7020.0,7560,6310
259,6972.0,7020.0,7530,6510
260,6954.4,6935.0,7670,6440
261,6916.4,6945.0,7360,6380
262,6993.2,7025.0,7570,6330
263,6878.2,6825.0,7570,6470
264,6973.2,6990.0,7610,6320
265,6993.6,6980.0,7480,6430
266,6907.2,6895.0,7580,6460
267,6934.2,6890.0,7670,6240
268,6923.0,6920.0,7410,6470
269,6924.8,6900.0,7390,6370
270,6853.6,6820.0,7410,6430
271,6898.2,6880.0,7480,6360
272,6928.4,7005.0,7310,6470
273,6954.2,6960.0,7350,6520
274,6986.6,7010.0,7540,6540
275,6980.6,7030.0,7560,6430
276,7024.6,7095.0,7510,6430
277,6982.2,6975.0,7550,6380
278,7040.4,7085.0,7540,6320
279,6928.6,6955.0,7430,6490
280,6958.4,6975.0,7410,6440
281,6932.4,6875.0,7450,6570
282,6966.8,6990.0,7400,6400
283,6938.8,6965.0,7370,6440
284,6939.0,6980.0,7440,6540
285,6917.2,6885.0,7470,6420
286,6972.2,6950.0,7530,6550
287,7032.8,7070.0,7680,6400
288,6900.4,6890.0,7340,6460
289,6999.0,6970.0,7620,6400
290,6969.4,6995.0,7570,6450
291,6961.6,6960.0,7430,6430
292,6896.2,6885.0,7580,6400
293,6932.8,7010.0,7450,6430
294,7002.4,6985.0,7510,6530
295,6925.0,6910.0,7480,6430
296,6923.8,6945.0,7560,6280
297,6934.8,6965.0,7490,6410
298,6982.4,6990.0,7500,6500
299,6928.2,6940.0,7760,6410
300,6976.4,7055.0,7360,6460
301,6909.2,6935.0,7510,6310
302,6946.4,6995.0,7550,6400
303,6884.0,6845.0,7360,6410
304,6988.0,6980.0,7610,6300
305,6978.6,6915.0,7610,6470
306,6882.6,6925.0,7380,6470
307,6947.0,6970.0,7620,6450
308,6918.6,6915.0,7670,6400
309,6936.0,6995.0,7790,6430
310,6918.0,6870.0,7630,6410
311,6905.0,6900.0,7330,6320
312,7000.4,7035.0,7540,6420
313,6931.2,6875.0,7800,6440
314,6934.6,6910.0,7480,6310
315,6935.2,6920.0,7730,6350
316,6968.4,6955.0,7630,6380
317,6913.2,6915.0,7490,6330
318,6967.8,6970.0,7740,6340
319,6912.4,6890.0,7670,6380
320,6986.4,6995.0,7460,6480
321,7013.2,7065.0,7490,6530
322,6931.8,6975.0,7700,6410
323,6989.2,6985.0,7670,6500
324,6961.0,6930.0,7640,6400
325,6995.6,7010.0,7570,6450
326,7052.6,7045.0,7620,6490
327,6949.4,6905.0,7530,6220
328,7009.4,7015.0,7570,6370
329,6939.6,6910.0,7600,6440
